"date","new_cases","new_deaths","people_vaccinated","population","avg_cases","avg_deaths","vacc_rate"
2020-09-22,463,5,NA,10167923,683.178571428571,6.21428571428572,NA
2020-09-23,802,3,NA,10167923,700.428571428571,6.46428571428571,NA
2020-09-24,691,3,NA,10167923,711.285714285714,6.5,NA
2020-09-25,899,5,NA,10167923,718.142857142857,6.35714285714286,NA
2020-09-26,884,8,NA,10167923,726.071428571429,6.60714285714286,NA
2020-09-27,665,9,NA,10167923,742.714285714286,6.75,NA
2020-09-28,425,4,NA,10167923,759.25,6.82142857142857,NA
2020-09-29,688,6,NA,10167923,761.928571428572,7.32142857142857,NA
2020-09-30,825,8,NA,10167923,765.714285714286,7.82142857142857,NA
2020-10-01,854,6,NA,10167923,791.75,8.25,NA
2020-10-02,888,6,NA,10167923,830.392857142857,8.75,NA
2020-10-03,963,12,NA,10167923,875.285714285714,8.89285714285714,NA
2020-10-04,904,10,NA,10167923,917.678571428572,8.92857142857143,NA
2020-10-05,734,13,NA,10167923,962.285714285714,9.42857142857143,NA
2020-10-06,427,14,NA,10167923,1010.28571428571,10.1428571428571,NA
2020-10-07,944,8,NA,10167923,1073.39285714286,10.4642857142857,NA
2020-10-08,1278,10,NA,10167923,1162.46428571429,10.6071428571429,NA
2020-10-09,1394,12,NA,10167923,1268.42857142857,11.3214285714286,NA
2020-10-10,1646,5,NA,10167923,1372.35714285714,11.8928571428571,NA
2020-10-11,1090,13,NA,10167923,1448.85714285714,12.25,NA
2020-10-12,1249,14,NA,10167923,1526.25,12.7142857142857,NA
2020-10-13,1208,16,NA,10167923,1621.39285714286,12.8928571428571,NA
2020-10-14,2072,7,NA,10167923,1729.96428571429,13.2142857142857,NA
2020-10-15,2101,11,NA,10167923,1857.92857142857,13.7142857142857,NA
2020-10-16,2608,21,NA,10167923,1982.82142857143,14.6071428571429,NA
2020-10-17,2153,13,NA,10167923,2108.82142857143,15.8571428571429,NA
2020-10-18,1856,19,NA,10167923,2234.17857142857,16.6428571428571,NA
2020-10-19,1949,17,NA,10167923,2330.07142857143,17.3214285714286,NA
2020-10-20,1876,15,NA,10167923,2447.53571428571,18.2142857142857,NA
2020-10-21,2535,16,NA,10167923,2589.64285714286,19.25,NA
2020-10-22,3270,16,NA,10167923,2732.89285714286,20.6428571428571,NA
2020-10-23,2899,31,NA,10167923,2881.85714285714,22.1071428571429,NA
2020-10-24,3669,21,NA,10167923,3021.21428571429,23.7142857142857,NA
2020-10-25,2577,19,NA,10167923,3130.5,25.2857142857143,NA
2020-10-26,2447,27,NA,10167923,3193.46428571428,26.9642857142857,NA
2020-10-27,3299,28,NA,10167923,3239.07142857143,29.0714285714286,NA
2020-10-28,3960,24,NA,10167923,3442,31.6785714285714,NA
2020-10-29,4224,33,NA,10167923,3659.92857142857,34.2857142857143,NA
2020-10-30,4656,40,NA,10167923,3795.32142857143,36.1071428571429,NA
2020-10-31,4007,39,NA,10167923,3996.10714285714,38.1071428571429,NA
2020-11-01,3062,37,NA,10167923,4216.75,40.3928571428571,NA
2020-11-02,2506,46,NA,10167923,4390.17857142857,42.7142857142857,NA
2020-11-03,2596,45,NA,10167923,4467.57142857143,45.2142857142857,NA
2020-11-04,7497,59,NA,10167923,4520.89285714286,48.5,NA
2020-11-05,4410,46,NA,10167923,4613.39285714286,52.1785714285714,NA
2020-11-06,5550,52,NA,10167923,4742.39285714286,54.8214285714286,NA
2020-11-07,6640,56,NA,10167923,4906.39285714286,56.4285714285714,NA
2020-11-08,5784,48,NA,10167923,5105.25,58.3928571428571,NA
2020-11-09,4096,63,NA,10167923,5420.89285714286,61.3928571428571,NA
2020-11-10,3817,62,NA,10167923,5696.64285714286,64.2857142857143,NA
2020-11-11,4935,82,NA,10167923,5705.57142857143,66.2857142857143,NA
2020-11-12,5839,78,NA,10167923,5740.5,67.8214285714286,NA
2020-11-13,6653,69,NA,10167923,5866.32142857143,68.9642857142857,NA
2020-11-14,6602,55,NA,10167923,5893.85714285714,69.5,NA
2020-11-15,6035,76,NA,10167923,5852.28571428571,70.6071428571428,NA
2020-11-16,8371,91,NA,10167923,5814.85714285714,71.8928571428572,NA
2020-11-17,4452,81,NA,10167923,5816.64285714286,73.1071428571429,NA
2020-11-18,5891,79,NA,10167923,5832.96428571429,73.5357142857143,NA
2020-11-19,6994,69,NA,10167923,5865.07142857143,73.2857142857143,NA
2020-11-20,6489,61,NA,10167923,5841.32142857143,73.3571428571428,NA
2020-11-21,6472,62,NA,10167923,5736.21428571429,74.4285714285714,NA
2020-11-22,4788,73,NA,10167923,5604.92857142857,75.1428571428571,NA
2020-11-23,4044,74,NA,10167923,5353.10714285714,74.25,NA
2020-11-24,3919,85,NA,10167923,5097.39285714286,73.4642857142857,NA
2020-11-25,5290,71,NA,10167923,4934.60714285714,72.75,NA
2020-11-26,6383,82,NA,10167923,4730,72.7142857142857,NA
2020-11-27,5444,67,NA,10167923,4559.42857142857,73.7142857142857,NA
2020-11-28,4868,87,NA,10167923,4490.17857142857,74.75,NA
2020-11-29,4093,64,NA,10167923,4442.35714285714,75.6428571428571,NA
2020-11-30,3262,78,NA,10167923,4356.60714285714,76.2857142857143,NA
2020-12-01,2401,72,NA,10167923,4268.71428571429,76.2857142857143,NA
2020-12-02,3384,68,NA,10167923,4189.89285714286,76.1071428571429,NA
2020-12-03,3772,79,NA,10167923,4031.25,76.2142857142857,NA
2020-12-04,4935,79,NA,10167923,3902.21428571429,77.3571428571428,NA
2020-12-05,6087,73,NA,10167923,3872.96428571429,78.3928571428571,NA
2020-12-06,3834,87,NA,10167923,3854.96428571429,79.6428571428571,NA
2020-12-07,2597,78,NA,10167923,3815.07142857143,81.2857142857143,NA
2020-12-08,2905,81,NA,10167923,3785.39285714286,82.1428571428571,NA
2020-12-09,4097,70,NA,10167923,3841.57142857143,83.0714285714286,NA
2020-12-10,3134,86,NA,10167923,3908.85714285714,83.8571428571428,NA
2020-12-11,5080,95,NA,10167923,3907.03571428571,84,NA
2020-12-12,4413,88,NA,10167923,3805.21428571429,84.3214285714286,NA
2020-12-13,4044,98,NA,10167923,3706.92857142857,84.2142857142857,NA
2020-12-14,2194,90,NA,10167923,3671.28571428571,82.8928571428572,NA
2020-12-15,2638,84,NA,10167923,3636.75,81.5,NA
2020-12-16,4720,82,NA,10167923,3638.03571428571,81.5357142857143,NA
2020-12-17,4320,87,NA,10167923,3700.5,81.6428571428572,NA
2020-12-18,4336,75,NA,10167923,3711.57142857143,80,NA
2020-12-19,3835,86,NA,10167923,3563.96428571428,78.5714285714286,NA
2020-12-20,3334,71,NA,10167923,3361.60714285714,76.9642857142857,NA
2020-12-21,2099,57,NA,10167923,3269.89285714286,74.5714285714286,NA
2020-12-22,2436,63,NA,10167923,3291.21428571429,73.0714285714286,NA
2020-12-23,4602,89,NA,10167923,3363.60714285714,72.6071428571428,NA
2020-12-24,4378,70,NA,10167923,3529.17857142857,72.1071428571429,NA
2020-12-25,4146,65,NA,10167923,3740.67857142857,71.3928571428571,NA
2020-12-26,1214,78,NA,10167923,3812.85714285714,70.6071428571428,NA
2020-12-27,1577,63,4963,10167923,3793.42857142857,70.2142857142857,0.000488103617621809
2020-12-28,2093,58,7754,10167923,3876.28571428571,71.0357142857143,0.000762594287938648
2020-12-29,3336,74,20368,10167923,4047.35714285714,72.75,0.00200316229774753
2020-12-30,6049,79,30543,10167923,4331.10714285714,73.7857142857143,0.00300385831009932
2020-12-31,7627,76,32749,10167923,4723.03571428571,74.75,0.00322081510648733
2021-01-01,6951,66,32749,10167923,5136.57142857143,77.5357142857143,0.00322081510648733
2021-01-02,3241,73,32750,10167923,5647.07142857143,80.6071428571429,0.00322091345498978
2021-01-03,3384,73,32750,10167923,6153.82142857143,83.1785714285714,0.00322091345498978
2021-01-04,4369,78,33670,10167923,6490.82142857143,86.8571428571429,0.00331139407723682
2021-01-05,4956,90,46433,10167923,6756.32142857143,92.0357142857143,0.00456661601390963
2021-01-06,10027,91,61454,10167923,7057.39285714286,97.6785714285714,0.00604390886909746
2021-01-07,9927,95,71751,10167923,7328.03571428571,103,0.00705660339874722
2021-01-08,10176,118,74254,10167923,7570.28571428571,108.892857142857,0.00730276970036063
2021-01-09,9478,111,74352,10167923,7978.07142857143,115.535714285714,0.00731240785359999
2021-01-10,7502,102,74392,10167923,8503.32142857143,121.678571428571,0.00731634179369769
2021-01-11,5604,122,84767,10167923,8836.67857142857,127.678571428571,0.00833670750653796
2021-01-12,7259,155,95649,10167923,9116.39285714286,135.428571428571,0.00940693591011655
2021-01-13,10556,156,109448,10167923,9477.78571428572,144.571428571429,0.0107640468953197
2021-01-14,10698,148,120598,10167923,9771.96428571428,153.642857142857,0.0118606326975529
2021-01-15,10663,159,128084,10167923,10037.25,162.285714285714,0.012596869586837
2021-01-16,10947,166,129619,10167923,10382.4642857143,172.25,0.0127478345380861
2021-01-17,10385,152,129626,10167923,10742.25,184.25,0.0127485229776032
2021-01-18,6702,167,134743,10167923,10940.0357142857,195.071428571429,0.0132517722646011
2021-01-19,10455,218,150855,10167923,11112.3571428571,204.571428571429,0.0148363633359537
2021-01-20,14647,219,170613,10167923,11398.8928571429,214.321428571429,0.0167795330472113
2021-01-21,13544,221,198743,10167923,11765,224.75,0.019546076420917
2021-01-22,13987,234,222598,10167923,12060.3928571429,234.535714285714,0.0218921799466813
2021-01-23,15333,274,233352,10167923,12204.1428571429,243.321428571429,0.0229498197419473
2021-01-24,11721,275,237010,10167923,12225.6071428571,253.25,0.0233095785638817
2021-01-25,6923,252,NA,10167923,12161.8928571429,262.5,NA
2021-01-26,10765,291,NA,10167923,11954.3214285714,267.857142857143,NA
2021-01-27,15073,293,NA,10167923,11580.0714285714,270.107142857143,NA
2021-01-28,16432,303,NA,10167923,11180.2857142857,271,NA
2021-01-29,13200,278,NA,10167923,10726.6785714286,272,NA
2021-01-30,12435,293,276636,10167923,10145.5357142857,270.714285714286,0.0272067363216657
2021-01-31,9498,303,280250,10167923,9523.60714285714,266.035714285714,0.0275621678094927
2021-02-01,5805,275,299021,10167923,9072.5,261.5,0.0294082675488396
2021-02-02,5540,260,300631,10167923,8622.5,256.357142857143,0.0295666086377719
2021-02-03,9083,240,304300,10167923,7948.64285714286,248.5,0.0299274492932332
2021-02-04,7914,225,308443,10167923,7104.42857142857,238.928571428571,0.0303349071388523
2021-02-05,6916,258,313669,10167923,6272.35714285714,229.464285714286,0.0308488764126164
2021-02-06,6132,214,319509,10167923,5560.75,219.714285714286,0.0314232316668802
2021-02-07,3508,204,320585,10167923,4939.32142857143,208.678571428571,0.0315290546555083
2021-02-08,2505,196,323082,10167923,4499.21428571429,196.178571428571,0.0317746308661071
2021-02-09,2583,203,325459,10167923,4194.21428571429,184.25,0.0320084052564127
2021-02-10,4387,161,330048,10167923,3808.60714285714,174.892857142857,0.0324597265341211
2021-02-11,3480,167,334466,10167923,3354,166.571428571429,0.0328942302179118
2021-02-12,2854,149,342039,10167923,2963.07142857143,155.464285714286,0.0336390234269083
2021-02-13,2856,149,352001,10167923,2622.42857142857,143.714285714286,0.0346187712082399
2021-02-14,1677,138,360143,10167923,2376.57142857143,133.821428571429,0.0354195247151262
2021-02-15,1303,90,364060,10167923,2223.78571428571,124.035714285714,0.0358047557991932
2021-02-16,1502,111,369239,10167923,2098.53571428571,114.214285714286,0.0363141026933426
2021-02-17,2324,127,379752,10167923,1939.32142857143,105.25,0.0373480404995199
2021-02-18,1944,105,394170,10167923,1752.64285714286,97.0714285714286,0.038766029207735
2021-02-19,1940,67,421400,10167923,1604.53571428571,89.6071428571428,0.0414440589292425
2021-02-20,1570,76,446221,10167923,1475.53571428571,82.2142857142857,0.0438851671083662
2021-02-21,1186,65,461759,10167923,1377.53571428571,74.6071428571429,0.0454133061393168
2021-02-22,549,61,467766,10167923,1310.82142857143,69.1428571428571,0.0460040855934885
2021-02-23,1032,63,480082,10167923,1249.39285714286,64.5357142857143,0.0472153457495695
2021-02-24,1480,50,504281,10167923,1172.39285714286,58.8571428571429,0.049595281160174
2021-02-25,1160,49,532392,10167923,1084.57142857143,53.0357142857143,0.0523599559123333
2021-02-26,1027,58,573988,10167923,1009.39285714286,48.8928571428571,0.0564508602199289
2021-02-27,1071,33,609414,10167923,953.892857142857,45.7142857142857,0.0599349542674546
2021-02-28,718,41,632164,10167923,915.785714285714,42.6071428571428,0.06217238269802
2021-03-01,394,34,644881,10167923,891.214285714286,40,0.0634230806035805
2021-03-02,691,38,659689,10167923,878.035714285714,37.5357142857143,0.0648794252277481
2021-03-03,979,41,673746,10167923,841.5,35.3571428571429,0.0662619101265814
2021-03-04,830,28,697015,10167923,792.535714285714,33.25,0.0685503814299144
2021-03-05,949,28,734256,10167923,757.428571428571,30.6071428571429,0.0722129780093732
2021-03-06,1007,26,765498,10167923,723.25,28.5714285714286,0.0752855819226798
2021-03-07,682,28,778502,10167923,698.821428571429,27.1428571428571,0.0765645058484412
2021-03-08,365,25,784279,10167923,687.571428571429,25.3571428571429,0.0771326651470512
2021-03-09,847,30,793092,10167923,671.678571428571,23.6071428571429,0.0779994104990764
2021-03-10,642,22,802180,10167923,649.785714285714,21.7857142857143,0.0788932016892732
2021-03-11,627,18,816860,10167923,626.535714285714,20.6071428571429,0.0803369577051282
2021-03-12,577,15,837679,10167923,600.607142857143,19.75,0.0823844751774773
2021-03-13,564,19,857897,10167923,567.357142857143,18.5,0.0843728851998584
2021-03-14,541,15,868830,10167923,539.428571428571,17.0714285714286,0.0854481293770616
2021-03-15,256,10,880673,10167923,526.964285714286,15.9642857142857,0.0866128706914873
2021-03-16,384,13,902629,10167923,508.035714285714,14.9285714285714,0.0887722104111135
2021-03-17,673,15,904187,10167923,490.892857142857,13.8214285714286,0.0889254373779188
2021-03-18,485,21,916735,10167923,481.214285714286,13.1071428571429,0.0901595143865665
2021-03-19,568,11,928655,10167923,470.75,12.4285714285714,0.0913318285356803
2021-03-20,457,8,945537,10167923,459.714285714286,11.6785714285714,0.0929921479539135
2021-03-21,450,6,955692,10167923,445.571428571428,11.1071428571429,0.0939908769962164
2021-03-22,248,16,962926,10167923,441.178571428571,10.7857142857143,0.094702330062885
2021-03-23,434,10,973020,10167923,443.214285714286,10.25,0.095695059846539
2021-03-24,575,11,993257,10167923,441.392857142857,9.42857142857143,0.0976853384904665
2021-03-25,423,9,1032143,10167923,443.25,8.64285714285714,0.101509718356443
2021-03-26,488,5,1099071,10167923,446.357142857143,8.21428571428571,0.10809198692791
2021-03-27,344,8,1127323,10167923,439.321428571428,8.10714285714286,0.110870528818914
2021-03-28,365,10,1189220,10167923,423.821428571428,8,0.116958006074594
2021-03-29,309,6,1220685,10167923,411.464285714286,7.57142857142857,0.120052541703945
2021-03-30,388,2,1241604,10167923,424,6.92857142857143,0.122109894026538
2021-03-31,618,3,1268955,10167923,442.857142857143,6.35714285714286,0.124799823916841
2021-04-01,592,11,1282924,10167923,452.392857142857,6.07142857142857,0.12617365414746
2021-04-02,548,9,1324157,10167923,466.142857142857,6.07142857142857,0.130228857948669
2021-04-03,280,7,1342835,10167923,482.678571428571,6,0.132065811277288
2021-04-04,193,4,1353646,10167923,499.035714285714,5.78571428571429,0.133129056937194
2021-04-05,159,6,1359067,10167923,504.857142857143,5.5,0.133662204168934
2021-04-06,874,2,1385792,10167923,504.214285714286,5.46428571428571,0.136290567896708
2021-04-07,663,3,1422428,10167923,507.285714285714,5.75,0.139893663632189
2021-04-08,602,9,1473837,10167923,506.392857142857,5.60714285714286,0.144949661794252
2021-04-09,694,5,1529323,10167923,503.321428571428,5.10714285714286,0.150406626800773
2021-04-10,601,6,1586297,10167923,516.678571428571,4.85714285714286,0.156009934378929
2021-04-11,566,6,1597102,10167923,538.714285714286,4.75,0.157072589947819
2021-04-12,271,2,1616183,10167923,549.75,4.53571428571429,0.158949177722923
2021-04-13,408,5,1646005,10167923,535.857142857143,4.46428571428571,0.161882126762762
2021-04-14,684,8,1688452,10167923,517.892857142857,4.5,0.166056725645936
2021-04-15,501,2,1741112,10167923,517.214285714286,4.25,0.171235757784554
2021-04-16,553,4,1800625,10167923,511.714285714286,3.92857142857143,0.177088772210411
2021-04-17,649,5,1848465,10167923,503.785714285714,3.64285714285714,0.181793764567257
2021-04-18,441,3,1962353,10167923,499.428571428571,3.5,0.192994478813421
2021-04-19,220,1,2042238,10167923,493.607142857143,3.42857142857143,0.200851048931035
2021-04-20,424,5,2063435,10167923,488.964285714286,3.35714285714286,0.202935742137308
2021-04-21,610,1,2092672,10167923,483,3.17857142857143,0.205811157303217
2021-04-22,636,4,2122654,10167923,477.892857142857,2.96428571428571,0.208759842103446
2021-04-23,506,1,2151131,10167923,473.464285714286,2.78571428571429,0.2115605124075
2021-04-24,567,2,2190752,10167923,463.178571428571,2.53571428571429,0.215457178422771
2021-04-25,478,6,2222083,10167923,452.25,2.35714285714286,0.218538535352795
2021-04-26,196,0,2253543,10167923,446.857142857143,2.25,0.221632579239634
2021-04-27,353,5,2293825,10167923,439.5,2.17857142857143,0.225594253615021
2021-04-28,572,3,2333006,10167923,425.607142857143,2.17857142857143,0.229447646289218
2021-04-29,470,1,2386919,10167923,408.25,2.25,0.234749909101397
2021-04-30,460,0,2449495,10167923,394.25,2.28571428571429,0.240904164990234
2021-05-01,454,2,2518770,10167923,383.892857142857,2.28571428571429,0.247717257496934
2021-05-02,330,1,2560830,10167923,372.642857142857,2.10714285714286,0.251853795509663
2021-05-03,180,0,2601246,10167923,365.785714285714,1.96428571428571,0.255828648584377
2021-05-04,258,4,2652690,10167923,361.392857142857,1.85714285714286,0.260888088944025
2021-05-05,387,2,2712888,10167923,355.25,1.75,0.266808472094055
2021-05-06,373,5,2761445,10167923,350.928571428571,1.78571428571429,0.271583980327152
2021-05-07,377,1,2811172,10167923,349.357142857143,1.78571428571429,0.276474556308107
2021-05-08,406,2,2858604,10167923,349.535714285714,1.96428571428571,0.281139422475957
2021-05-09,324,1,2927201,10167923,350.214285714286,2.14285714285714,0.287885834698001
